Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,TQG,KAROL G & Shakira,2,8789666,-43.6%,https://www.youtube.com/watch?v=jZGpkLElSu8
2,2,SHAKIRA,Shakira & Bizarrap,9,3023187,-29.7%,https://www.youtube.com/watch?v=CocEMWdc7Ck
3,3,Yandel 150,Yandel & Feid,11,1902696,-6.7%,https://www.youtube.com/watch?v=WHejvUhX6rk
4,5,PLAYA DEL INGLÉS,Quevedo & Myke Towers,13,1709676,-4.1%,https://www.youtube.com/watch?v=yYVCf-y2YmE
5,4,Flowers,Miley Cyrus,8,1623296,-9.6%,https://www.youtube.com/watch?v=G7KNmW9a75Y
6,6,MERCHO (feat. Nico Valdi),LiL CaKe & Migrantes,6,1307283,-5%,https://www.youtube.com/watch?v=VVWH9jJLGkE
7,,Mas Rica Que Ayer,"Anuel AA, Mambo Kingz & DJ Luian",1,1294832,,https://www.youtube.com/watch?v=5sLzyEzUbPo
8,24,MIENTRAS ME CURO DEL CORA,KAROL G,2,1254578,78.5%,https://www.youtube.com/watch?v=37wmW9kYAlQ
9,7,La Bachata,Manuel Turizo,41,1165983,-3%,https://www.youtube.com/watch?v=TiM_TFpT_DE
10,8,Nochentera,Vicco,5,1077776,-3.4%,https://www.youtube.com/watch?v=1j_dSNUGU-U
11,10,DESPECHÁ,ROSALÍA,32,899114,-10.5%,https://www.youtube.com/watch?v=5g2hT4GmAGU
12,13,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,36,881863,-5.1%,https://www.youtube.com/watch?v=A_g3lMcWVy0
13,22,Cupido,TINI,3,878983,20.5%,https://www.youtube.com/watch?v=4k1fm6YNsg8
14,12,La Jumpa,Arcangel & Bad Bunny,15,847336,-10.2%,https://www.youtube.com/watch?v=S0_888ZjlAA
15,15,Te Comía,Maka,6,762127,-5.5%,https://www.youtube.com/watch?v=TpVwh8UlYWM
16,20,Calm Down,Rema & Selena Gomez,28,738479,0.6%,https://www.youtube.com/watch?v=WcIcVapfqXw
17,21,Te Felicito,Shakira & Rauw Alejandro,46,726082,-1%,https://www.youtube.com/watch?v=4I25nV9hXGA
18,16,PUNTO G,Quevedo,18,724546,-7.9%,https://www.youtube.com/watch?v=z8uyayN3RbE
19,18,Quiero Decirte,Abraham Mateo & Ana Mena,43,711507,-6.6%,https://www.youtube.com/watch?v=QRvPuCoTMp0
20,23,Dominicana,RVFV & Morad,14,710154,1%,https://www.youtube.com/watch?v=CbTC-9IeS6Y
21,9,X SI VOLVEMOS,KAROL G & Romeo Santos,5,705861,-30.8%,https://www.youtube.com/watch?v=VOucMiGOBqg
22,14,PROVENZA,KAROL G,46,702833,-13.6%,https://www.youtube.com/watch?v=ca48oMV59LU
23,19,LAS 12,Ana Mena & Belinda,40,696865,-6%,https://www.youtube.com/watch?v=ZwZfcO3zhg0
24,25,WANDA,Quevedo,7,689866,5.8%,https://www.youtube.com/watch?v=bDEDx8J10Wo
25,17,CAIRO,KAROL G & Ovy On The Drums,17,638314,-17.2%,https://www.youtube.com/watch?v=Z02zptUN8gI
26,39,TAMO EN NOTA,Rauw Alejandro & Angel Dior,4,602942,14.3%,https://www.youtube.com/watch?v=S8ZUB9z8OGA
